owner_id,project_id,commits_id,commits_comments_id
37740533,125728186,1296026026,6185214
44008609,113257935,1167189850,5944257
51051921,134279979,1380678448,6345917
51051921,134279979,1380678448,6345918
40298430,98462684,1078689043,5743122
190017,24449539,336240062,3182686
190017,24449539,481900775,3978508
190017,24449539,597521641,4385962
13232234,56272987,616563881,4455735
43571134,97865033,1008413234,5583185
43571134,97865033,1008413234,5583186
43571134,97865033,1008413234,5583187
6106713,13402741,184201372,1969889
42431291,108288964,1116630390,5823281
9395850,92092690,963627579,5696568
2663363,59503381,678847093,4658608
30595985,127637897,1319611416,6226190
46573521,125697770,1295772980,6184577
46573521,125697770,1295875295,6184834
46573521,125697770,1295879936,6184867
46573521,125697770,1295897928,6184922
46573521,125697770,1296952900,6186937
46573521,125697770,1297096914,6187234
6096839,14188967,196203032,2050304
36187894,77036114,839171998,5154062
33028071,95301844,981343361,5524600
2393286,101078120,1041530162,5659916
3259897,34784724,424182285,3737914
41805349,129792672,1346726791,6275119
45342417,106629725,1100434019,5888474
41235808,131403120,1367205234,6315528
41235808,131403120,1367205234,6315546
4525955,136195361,1400466981,6384062
4525955,136195361,1400466981,6384063
211776,1384290,16504519,1015464
32115979,48245725,609251404,4432873
22971689,55493452,604070493,4407502
43368234,105675366,1088777403,5765495
12649187,35487639,432757884,3771991
12649187,35487639,434623101,3780313
12649187,130037988,1346047326,6273951
44035093,119065736,1231844698,6051257
44035093,119065736,1231846462,6051521
49983181,137330518,1412335815,6404848
49983181,137330518,1412335815,6406262
49983181,137330518,1412335815,6406265
7632667,79057949,824143718,5113787
50105883,135192892,1390340373,6364314
42756001,102095631,1252021388,6086851
33502732,122902610,1268348346,6117265
33438108,54696471,596481154,4870265
40887021,128897906,1368923590,6323936
38950614,78092543,815159572,5088998
1623773,121455325,1377963076,6340795
11828724,105383622,1088545334,5764997
39789183,101763406,1048895914,5686875
6444172,14270184,197395058,2056022
117292,26871,25857917,454053
117292,31134308,412064407,3684894
117292,30792709,464227724,3899348
117292,30792709,464227724,3899352
117292,30792709,464227724,3899353
117292,32695582,468403896,3919642
117292,35447805,470118755,3926877
117292,37487369,480059344,3970944
117292,55791714,623885921,4491750
32977337,58136825,632039428,4493316
32977337,106882360,1133214517,5856139
50866230,91257409,1382539740,6351315
22936814,91241729,941689556,5429837
22936814,91241729,941690162,5429838
22936814,91241729,941690162,5429840
22936814,91241729,941689560,5429844
49836697,129803454,1338080067,6260152
49836697,129803454,1338066585,6260228
49836697,129803454,1338066585,6260237
49836697,129803454,1338066585,6260241
49836697,134254265,1388643461,6360382
49836697,134254265,1388643461,6360391
409636,34915412,424378404,3740350
36323878,69077332,1069661020,5978726
5945808,30951213,383986994,3488304
5945808,30951213,383162839,3488672
5945808,30951213,383162839,3489018
48158417,120517544,1243550329,6071650
48158417,127225929,1323481284,6234313
48158417,1088,15350091,6275702
3223231,7413584,85693347,802786
3223231,7413584,85693347,802879
3223231,7413584,86851825,816784
3223231,7413584,86851825,816788
3223231,7413584,86851825,841032
3223231,110424845,1138892658,5876548
3223231,110424845,1138892658,5876550
3223231,110424845,1143300478,5876832
34620819,86438385,897954076,5308791
34620819,82207898,908933789,5349561
34620819,86438385,908934838,5349575
34620819,82207898,908950017,5349607
34620819,82207898,910184091,5352170
34620819,86438385,920268609,5371029
34620819,86438385,929774534,5398097
39569933,87839112,907257988,5345523
46025375,109660149,1139214017,5868944
46025375,109660149,1140723242,5872024
46025375,109660149,1141574329,5873832
36182055,65787963,701511518,4733829
3771263,20784511,265921621,2613493
32461514,120608345,1248291790,6080639
32189985,68106441,920786688,5372697
33659309,96658278,1024191622,5618483
38920170,77957146,813864017,5086580
33269911,28581848,405275405,5612324
3800154,38978333,620798135,4473078
3800154,38978333,620850037,4473121
12516319,51626094,564562528,4285227
8662692,1960146,25017982,3194720
47067058,87626636,1338508133,6262805
